Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,TrackStatus,LapSeconds,PersonalDelta,CumSeconds,Interval
ALB,72.0,0 days 00:01:21.351000,SOFT,10.0,9.0,0 days 03:11:43.763000,,False,1,81.351,-8.453000000000003,11503.763,1.4580000000005384
ALB,73.0,0 days 00:01:18.158000,SOFT,11.0,8.0,0 days 03:13:01.921000,,False,1,78.158,-3.192999999999998,11581.921,2.6200000000008004
ALB,74.0,0 days 00:01:16.776000,SOFT,12.0,8.0,0 days 03:14:18.697000,,False,1,76.776,-1.382000000000005,11658.697,2.606999999999971
ALB,75.0,0 days 00:01:16.476000,SOFT,13.0,8.0,0 days 03:15:35.173000,,False,1,76.476,-0.29999999999999716,11735.173,2.838000000001557
ALB,76.0,0 days 00:01:16.604000,SOFT,14.0,8.0,0 days 03:16:51.777000,,False,1,76.604,0.1280000000000001,11811.777,3.5339999999996508
ALB,77.0,0 days 00:01:16.406000,SOFT,15.0,8.0,0 days 03:18:08.183000,,False,1,76.406,-0.1979999999999933,11888.183,4.020000000000437
ALB,78.0,0 days 00:01:16.393000,SOFT,16.0,8.0,0 days 03:19:24.576000,,False,1,76.393,-0.01300000000000523,11964.576,4.45299999999952
ALO,1.0,0 days 00:01:37.265000,MEDIUM,1.0,17.0,0 days 00:56:57.131000,,False,12,97.265,,3417.131,0.7019999999997708
ALO,2.0,0 days 00:01:22.343000,MEDIUM,2.0,17.0,0 days 00:58:19.474000,,False,1,82.343,-14.921999999999997,3499.474,1.3820000000000618
ALO,3.0,0 days 00:01:39.049000,MEDIUM,3.0,18.0,0 days 00:59:58.523000,0 days 00:59:34.283000,True,1,99.049,16.706000000000003,3598.523,15.478000000000065
ALO,4.0,0 days 00:01:23.312000,SOFT,1.0,18.0,0 days 01:01:21.835000,,False,1,83.312,-15.737000000000009,3681.835,0.28099999999994907
ALO,5.0,0 days 00:01:20.326000,SOFT,2.0,17.0,0 days 01:02:42.161000,,False,1,80.326,-2.986000000000004,3762.161,3.0410000000001673
ALO,6.0,0 days 00:01:19.772000,SOFT,3.0,17.0,0 days 01:04:01.933000,,False,1,79.772,-0.5539999999999878,3841.933,3.2890000000002146
ALO,7.0,0 days 00:01:19.160000,SOFT,4.0,17.0,0 days 01:05:21.093000,,False,1,79.16,-0.612000000000009,3921.093,4.558999999999742
ALO,8.0,0 days 00:01:19.213000,SOFT,5.0,17.0,0 days 01:06:40.306000,,False,1,79.213,0.05299999999999727,4000.306,5.0779999999999745
ALO,9.0,0 days 00:01:19.431000,SOFT,6.0,16.0,0 days 01:07:59.737000,,False,1,79.431,0.21800000000000352,4079.737,5.505000000000109
ALO,10.0,0 days 00:01:19.993000,SOFT,7.0,16.0,0 days 01:09:19.730000,,False,1,79.993,0.5619999999999976,4159.73,3.543999999999869
ALO,11.0,0 days 00:01:19.595000,SOFT,8.0,16.0,0 days 01:10:39.325000,,False,1,79.595,-0.39799999999999613,4239.325,5.1909999999998035
ALO,12.0,0 days 00:01:19.031000,SOFT,9.0,16.0,0 days 01:11:58.356000,,False,1,79.031,-0.563999999999993,4318.356,6.960999999999331
ALO,13.0,0 days 00:01:19.032000,SOFT,10.0,16.0,0 days 01:13:17.388000,,False,1,79.032,0.000999999999990564,4397.388,8.238999999999578
ALO,14.0,0 days 00:01:19.338000,SOFT,11.0,16.0,0 days 01:14:36.726000,,False,1,79.338,0.3059999999999974,4476.726,10.11699999999928
ALO,15.0,0 days 00:01:19.415000,SOFT,12.0,16.0,0 days 01:15:56.141000,,False,1,79.415,0.07700000000001239,4556.141,11.960000000000036
ALO,16.0,0 days 00:01:20.915000,SOFT,13.0,16.0,0 days 01:17:17.056000,,False,1,80.915,1.5,4637.056,15.135999999999513
ALO,17.0,0 days 00:01:21.520000,SOFT,14.0,16.0,0 days 01:18:38.576000,,False,1,81.52,0.6049999999999898,4718.576,18.922999999999774
ALO,18.0,0 days 00:01:20.779000,SOFT,15.0,16.0,0 days 01:19:59.355000,,False,1,80.779,-0.7409999999999997,4799.355,22.032999999999447
ALO,19.0,0 days 00:01:19.936000,SOFT,16.0,16.0,0 days 01:21:19.291000,,False,1,79.936,-0.8429999999999893,4879.291,24.34900000000016
ALO,20.0,0 days 00:01:19.287000,SOFT,17.0,16.0,0 days 01:22:38.578000,,False,1,79.287,-0.6490000000000009,4958.578,25.908000000000357
ALO,21.0,0 days 00:01:19.246000,SOFT,18.0,16.0,0 days 01:23:57.824000,,False,1,79.246,-0.04100000000001103,5037.824,27.185999999999694
ALO,22.0,0 days 00:01:19.169000,SOFT,19.0,16.0,0 days 01:25:16.993000,,False,1,79.169,-0.07699999999999818,5116.993,27.98400000000038
ALO,23.0,0 days 00:01:19.157000,SOFT,20.0,16.0,0 days 01:26:36.150000,,False,1,79.157,-0.012000000000000455,5196.15,29.259000000000015
ALO,24.0,0 days 00:01:19.072000,SOFT,21.0,16.0,0 days 01:27:55.222000,,False,1,79.072,-0.08499999999999375,5275.222,30.331999999999425
