Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,LapSeconds,PersonalDelta,CumSeconds,Interval
BOR,40.0,0 days 00:01:44.104000,HARD,7.0,14.0,0 days 01:51:55.932000,,False,104.104,6.140000000000001,6715.932,4.036999999999352
BOR,41.0,0 days 00:01:22.925000,HARD,8.0,14.0,0 days 01:53:18.857000,,False,82.925,-21.179000000000002,6798.857,1.9639999999999418
BOR,42.0,0 days 00:01:24.641000,HARD,9.0,14.0,0 days 01:54:43.498000,,False,84.641,1.7160000000000082,6883.498,3.9199999999991633
BOR,43.0,0 days 00:01:22.559000,HARD,10.0,14.0,0 days 01:56:06.057000,,False,82.559,-2.082000000000008,6966.057,2.34900000000016
BOR,44.0,0 days 00:01:22.815000,HARD,11.0,14.0,0 days 01:57:28.872000,,False,82.815,0.2560000000000002,7048.872,2.4990000000007058
BOR,45.0,0 days 00:01:23.219000,HARD,12.0,14.0,0 days 01:58:52.091000,,False,83.219,0.40399999999999636,7132.091,1.219000000000051
BOR,46.0,0 days 00:01:23.617000,HARD,13.0,14.0,0 days 02:00:15.708000,,False,83.617,0.39800000000001035,7215.708,0.8799999999991996
BOR,47.0,0 days 00:01:24.190000,HARD,14.0,14.0,0 days 02:01:39.898000,,False,84.19,0.5729999999999933,7299.898,1.3670000000001892
BOR,48.0,0 days 00:01:25.522000,HARD,15.0,15.0,0 days 02:03:05.420000,,False,85.522,1.3320000000000078,7385.42,1.0349999999998545
BOR,49.0,0 days 00:01:24.586000,HARD,16.0,15.0,0 days 02:04:30.006000,,False,84.586,-0.936000000000007,7470.006,1.6950000000006185
BOR,50.0,0 days 00:01:24.157000,HARD,17.0,15.0,0 days 02:05:54.163000,,False,84.157,-0.42900000000000205,7554.163,1.657999999999447
BOR,51.0,0 days 00:01:23.978000,HARD,18.0,15.0,0 days 02:07:18.141000,,False,83.978,-0.17900000000000205,7638.141,1.6849999999994907
BOR,52.0,0 days 00:01:24.094000,HARD,19.0,15.0,0 days 02:08:42.235000,,False,84.094,0.11599999999999966,7722.235,1.6499999999996362
BOR,53.0,0 days 00:01:28.318000,HARD,20.0,15.0,0 days 02:10:10.553000,0 days 02:10:07.708000,True,88.318,4.224000000000004,7810.553,5.4539999999997235
BOR,54.0,0 days 00:01:45.439000,SOFT,1.0,16.0,0 days 02:11:55.992000,,False,105.439,17.120999999999995,7915.992,8.717999999999847
BOR,55.0,0 days 00:01:21.446000,SOFT,2.0,16.0,0 days 02:13:17.438000,,False,81.446,-23.992999999999995,7997.438,1.7780000000002474
BOR,56.0,0 days 00:01:22.781000,SOFT,3.0,14.0,0 days 02:14:40.219000,,False,82.781,1.335000000000008,8080.219,18.175000000000182
BOR,57.0,0 days 00:01:21.530000,SOFT,4.0,14.0,0 days 02:16:01.749000,,False,81.53,-1.2510000000000048,8161.749,14.967999999999847
BOR,58.0,0 days 00:01:22.191000,SOFT,5.0,14.0,0 days 02:17:23.940000,,False,82.191,0.6610000000000014,8243.94,12.780000000000655
BOR,59.0,0 days 00:01:22.545000,SOFT,6.0,14.0,0 days 02:18:46.485000,,False,82.545,0.3539999999999992,8326.485,11.21900000000096
BOR,60.0,0 days 00:01:23.029000,SOFT,7.0,13.0,0 days 02:20:09.514000,,False,83.029,0.48399999999999466,8409.514,33.13999999999942
BOR,61.0,0 days 00:01:50.025000,SOFT,8.0,13.0,0 days 02:21:59.539000,,False,110.025,26.99600000000001,8519.539,43.033000000001266
BOR,62.0,0 days 00:01:47.509000,SOFT,9.0,12.0,0 days 02:23:47.048000,,False,107.509,-2.5160000000000053,8627.048,42.970000000001164
BOR,63.0,0 days 00:01:27.099000,SOFT,10.0,11.0,0 days 02:25:14.147000,,False,87.099,-20.409999999999997,8714.147,33.051000000001295
BOR,64.0,0 days 00:01:21.984000,SOFT,11.0,11.0,0 days 02:26:36.131000,,False,81.984,-5.115000000000009,8796.131,31.662000000000262
BOT,1.0,0 days 00:01:35.407000,MEDIUM,1.0,20.0,0 days 00:55:16.746000,,False,95.407,,3316.746,0.512000000000171
BOT,2.0,0 days 00:01:26.038000,MEDIUM,2.0,20.0,0 days 00:56:42.784000,,False,86.038,-9.369,3402.784,1.0010000000002037
BOT,3.0,0 days 00:01:25.745000,MEDIUM,3.0,20.0,0 days 00:58:08.529000,,False,85.745,-0.29299999999999216,3488.529,1.3679999999999382
